DCINFO 1|decay calculator
1000023 -2000015 15|BR(~chi_20 -> ~tau_2+ tau-)
1000023 1000016 -16|BR(~chi_20 -> ~nu_tau1 nu_taub)
1000023 -1000016 16|BR(~chi_20 -> ~nu_tau1* nu_tau)
1000025
1000025 1000022 23|BR(~chi_30 -> ~chi_10 Z)
1000025 1000022 25|BR(~chi_30 -> ~chi_10 h)
1000025 2000001 -1|BR(~chi_30 -> ~d_R db)
1000025 -2000001 1|BR(~chi_30 -> ~d_R* d)
1000025 2000003 -3|BR(~chi_30 -> ~s_R sb)
1000025 -2000003 3|BR(~chi_30 -> ~s_R* s)
1000025 1000006 -6|BR(~chi_30 -> ~t_1 tb)
1000025 -1000006 6|BR(~chi_30 -> ~t_1* t)
1000025 1000015 -15|BR(~chi_30 -> ~tau_1- tau+)
1000025 -1000015 15|BR(~chi_30 -> ~tau_1+ tau-)
1000025 2000015 -15|BR(~chi_30 -> ~tau_2- tau+)
1000025 -2000015 15|BR(~chi_30 -> ~tau_2+ tau-)
1000025 1000016 -16|BR(~chi_30 -> ~nu_tau1 nu_taub)
1000025 -1000016 16|BR(~chi_30 -> ~nu_tau1* nu_tau)
1000035
1000035 1000022 23|BR(~chi_40 -> ~chi_10 Z)
1000035 1000023 23|BR(~chi_40 -> ~chi_20 Z)
1000035 1000025 23|BR(~chi_40 -> ~chi_30 Z)
1000035 1000024 -24|BR(~chi_40 -> ~chi_1+ W-)
1000035 -1000024 24|BR(~chi_40 -> ~chi_1- W+)
1000035 1000022 25|BR(~chi_40 -> ~chi_10 h)
1000035 1000023 25|BR(~chi_40 -> ~chi_20 h)
1000035 1000025 25|BR(~chi_40 -> ~chi_30 h)
1000035 1000002 -2|BR(~chi_40 -> ~u_L ub)
1000035 -1000002 2|BR(~chi_40 -> ~u_L* u)
1000035 2000002 -2|BR(~chi_40 -> ~u_R ub)
1000035 -2000002 2|BR(~chi_40 -> ~u_R* u)
1000035 1000001 -1|BR(~chi_40 -> ~d_L db)
1000035 -1000001 1|BR(~chi_40 -> ~d_L* d)
1000035 2000001 -1|BR(~chi_40 -> ~d_R db)
1000035 -2000001 1|BR(~chi_40 -> ~d_R* d)
1000035 1000004 -4|BR(~chi_40 -> ~c_L cb)
1000035 -1000004 4|BR(~chi_40 -> ~c_L* c)
1000035 2000004 -4|BR(~chi_40 -> ~c_R cb)
1000035 -2000004 4|BR(~chi_40 -> ~c_R* c)
1000035 1000003 -3|BR(~chi_40 -> ~s_L sb)
1000035 -1000003 3|BR(~chi_40 -> ~s_L* s)
1000035 2000003 -3|BR(~chi_40 -> ~s_R sb)
1000035 -2000003 3|BR(~chi_40 -> ~s_R* s)
1000035 1000006 -6|BR(~chi_40 -> ~t_1 tb)
1000035 -1000006 6|BR(~chi_40 -> ~t_1* t)
1000035 1000005 -5|BR(~chi_40 -> ~b_1 bb)
1000035 -1000005 5|BR(~chi_40 -> ~b_1* b)
1000035 1000011 -11|BR(~chi_40 -> ~e_L- e+)
1000035 -1000011 11|BR(~chi_40 -> ~e_L+ e-)
1000035 2000011 -11|BR(~chi_40 -> ~e_R- e+)
1000035 -2000011 11|BR(~chi_40 -> ~e_R+ e-)
1000035 1000013 -13|BR(~chi_40 -> ~mu_L- mu+)
1000035 -1000013 13|BR(~chi_40 -> ~mu_L+ mu-)
1000035 2000013 -13|BR(~chi_40 -> ~mu_R- mu+)
1000035 -2000013 13|BR(~chi_40 -> ~mu_R+ mu-)
1000035 1000015 -15|BR(~chi_40 -> ~tau_1- tau+)
1000035 -1000015 15|BR(~chi_40 -> ~tau_1+ tau-)
1000035 2000015 -15|BR(~chi_40 -> ~tau_2- tau+)
1000035 -2000015 15|BR(~chi_40 -> ~tau_2+ tau-)
1000035 1000012 -12|BR(~chi_40 -> ~nu_eL nu_eb)
1000035 -1000012 12|BR(~chi_40 -> ~nu_eL* nu_e)
1000035 1000014 -14|BR(~chi_40 -> ~nu_muL nu_mub)
1000035 -1000014 14|BR(~chi_40 -> ~nu_muL* nu_mu)
1000035 1000016 -16|BR(~chi_40 -> ~nu_tau1 nu_taub)
1000035 -1000016 16|BR(~chi_40 -> ~nu_tau1* nu_tau)
25
25 5 -5|BR(h -> b bb)
25 -15 15|BR(h -> tau+ tau-)
25 -13 13|BR(h -> mu+ mu-)
25 3 -3|BR(h -> s sb)
25 4 -4|BR(h -> c cb)
25 21 21|BR(h -> g g)
25 22 22|BR(h -> gam gam)
25 22 23|BR(h -> Z gam)
25 24 -24|BR(h -> W+ W-)
25 23 23|BR(h -> Z Z)
35
35 5 -5|BR(H -> b bb)
35 -15 15|BR(H -> tau+ tau-)
35 -13 13|BR(H -> mu+ mu-)
35 3 -3|BR(H -> s sb)
35 4 -4|BR(H -> c cb)
35 6 -6|BR(H -> t tb)
35 21 21|BR(H -> g g)
35 22 22|BR(H -> gam gam)
35 23 22|BR(H -> Z gam)
35 24 -24|BR(H -> W+ W-)
35 23 23|BR(H -> Z Z)
35 25 25|BR(H -> h h)
35 36 36|BR(H -> A A)
35 23 36|BR(H -> Z A)
35 1000022 1000022|BR(H -> ~chi_10 ~chi_10)
35 1000022 1000023|BR(H -> ~chi_10 ~chi_20)
35 1000022 1000025|BR(H -> ~chi_10 ~chi_30)
35 1000006 -1000006|BR(H -> ~t_1 ~t_1*)
35 1000015 -1000015|BR(H -> ~tau_1- ~tau_1+)
35 2000015 -2000015|BR(H -> ~tau_2- ~tau_2+)
35 1000015 -2000015|BR(H -> ~tau_1- ~tau_2+)
35 2000015 -1000015|BR(H -> ~tau_2- ~tau_1+)
36
36 5 -5|BR(A -> b bb)
36 -15 15|BR(A -> tau+ tau-)
36 -13 13|BR(A -> mu+ mu-)
36 3 -3|BR(A -> s sb)
36 4 -4|BR(A -> c cb)
36 6 -6|BR(A -> t tb)
36 21 21|BR(A -> g g)
36 22 22|BR(A -> gam gam)
36 23 22|BR(A -> Z gam)
36 23 25|BR(A -> Z h)
36 1000022 1000022|BR(A -> ~chi_10 ~chi_10)
36 1000022 1000023|BR(A -> ~chi_10 ~chi_20)
36 1000022 1000025|BR(A -> ~chi_10 ~chi_30)
36 1000015 -2000015|BR(A -> ~tau_1- ~tau_2+)
36 -1000015 2000015|BR(A -> ~tau_1+ ~tau_2-)
37
37 4 -5|BR(H+ -> c bb)
37 -15 16|BR(H+ -> tau+ nu_tau)
37 -13 14|BR(H+ -> mu+ nu_mu)
37 2 -5|BR(H+ -> u bb)
37 2 -3|BR(H+ -> u sb)
37 4 -3|BR(H+ -> c sb)
37 6 -5|BR(H+ -> t bb)
37 24 25|BR(H+ -> W+ h)
37 24 36|BR(H+ -> W+ A)
37 1000024 1000022|BR(H+ -> ~chi_1+ ~chi_10)
